fid,nombre_sitio,categoria,descripcion,estado,agua,asientos,experiencia_uso,longitud,latitud
13,pinpon1_westpark,Pingpong,"Mesa de ping-pong funcional equipada con dos bancos contiguos y una papelera. La superficie es más rugosa y presenta más suciedad que otras mesas de la zona, como las de Westpark, pero se mantiene en buen estado para el juego. Cuenta con la red metálica rígida estándar y está situada sobre un suelo de baldosa regular. La instalación se encuentra en un entorno arbolado que suele ofrecer sombra, aunque es propensa a las corrientes de aire. Al estar ubicada junto a una cancha de baloncesto sin separación física, es posible que el juego se vea interrumpido ocasionalmente por balones provenientes de la pista contigua. Una opción práctica si se prioriza la funcionalidad sobre la estética.",1,0,1,4,6.06734881116467,50.7724116000096
14,calistenia_melaten,Calistenia,"Área de calistenia equipada con barras básicas estándar en buen estado de conservación. A diferencia de los parques de entrenamiento completo, esta instalación se centra en ofrecer los elementos fundamentales para ejercicios de fuerza y peso corporal. Destaca por contar con un suelo de goma de seguridad para amortiguar impactos y por estar situada en un recinto a cubierto, lo que permite entrenar cómodamente sin depender de las condiciones climáticas. Una opción práctica y funcional para rutinas de entrenamiento esenciales.",1,0,0,2,6.04511410828534,50.7866760173667
15,atletismo_koenigshuegel,Atletismo,"Pista circular de atletismo con superficie de tierra compacta, apta para el running diario pero no recomendada para el uso de zapatillas de clavos. Se trata de un recorrido bastante ancho que, aunque carece de calles delimitadas, se mantiene siempre despejado para los corredores a pesar de la gran afluencia de gente en el parque. La pista cuenta con zonas de sombra y sol alternas según el tramo y la hora del día. En sus inmediaciones se encuentran instalaciones de calistenia, así como redes de voleibol y campos de fútbol (estos últimos bajo reserva o pago). Aunque no dispone de bancos, los usuarios suelen descansar en las amplias zonas de césped circundantes. Como valor añadido, el recinto ofrece acceso gratuito a fuentes de agua, baños y vestuarios públicos situados muy cerca del recorrido.",1,1,1,4,6.06973755561582,50.7785348161845
16,pinpon_ruetscher,Pingpong,"Mesa de ping-pong ubicada en un entorno agradable dentro de una calle pintoresca y un parque infantil. Esta mesa destaca por tener una altura inferior a la habitual, lo que la hace accesible para diferentes edades. Aunque está rodeada de amplias zonas verdes, la superficie inmediata de juego es de tierra y presenta un relieve algo desigual. La instalación se encuentra mayoritariamente expuesta al sol, excepto durante las últimas horas de la tarde, cuando comienza a haber sombra. Cuenta con bancos en las proximidades, aunque se sitúan a cierta distancia del área de juego.",1,0,0,2,6.07396094329527,50.7856693633992
17,pinpon2_ruetscher,Pingpong,"Mesa de ping-pong de buena calidad situada en un entorno muy agradable y rodeado de árboles, lo que garantiza sombra constante durante el día. La instalación se encuentra sobre un suelo de baldosas en buen estado, ofreciendo una superficie de juego estable y cómoda. Aunque no es el modelo más reciente, la mesa está bien conservada y es totalmente funcional. Gracias a su ubicación protegida, tanto el sol directo como el viento no suelen suponer un inconveniente para la práctica deportiva. El espacio está equipado con dos bancos y una papelera situados justo al lado de la zona de juego.",1,1,1,4,6.07294328694977,50.786878732912
18,calistenia_lousberg,Calistenia,"Área de calistenia situada en el perímetro del parque, lo que permite un acceso rápido sin necesidad de adentrarse en el mismo. La instalación se encuentra en muy buen estado y cuenta con un suelo de goma amortiguador delimitado por losas de piedra. Un punto destacado es su armario de material deportivo de uso libre y gratuito, disponible mediante registro previo. El equipamiento permite realizar ejercicios de abdominales, fondos y movimientos básicos, contando además con algunas barras con espacio suficiente para otros ejercicios. La zona está expuesta al sol durante casi todo el día y carece de sombras, lo que la convierte en un punto ideal para entrenar al aire libre en un entorno totalmente equipado.",1,0,1,5,6.07123053671894,50.7884552859036
19,volleyball_lousberg,Volleyball,"Pista de voleibol situada justo en la entrada principal del parque desde las torres. Se trata de una instalación sencilla ubicada en un entorno de césped, aunque el terreno de juego propiamente dicho es de tierra seca e irregular con presencia de piedras. Debido a la naturaleza del suelo, el campo se vuelve impracticable en días de lluvia, transformándose en una zona embarrada. La red, pese a su antigüedad, se mantiene en condiciones aceptables para un uso recreativo ocasional. El área carece de líneas delimitadoras y se encuentra totalmente expuesta al sol, aunque el césped circundante ofrece un buen espacio para sentarse y descansar. Es una opción adecuada para pasar el rato de manera informal, pero no para un juego técnico o exigente.",2,0,0,2,6.07103063951729,50.7886013635699
20,futbol11_lousberg,Futbol,"Campo de fútbol 11 de césped natural ubicado en una amplia llanura verde de uso polivalente. La instalación consta de dos porterías reglamentarias sin redes situadas en un terreno que, debido a su naturaleza, presenta algunas irregularidades y bultos, careciendo de líneas de juego delimitadas. Una de las porterías cuenta con una valla trasera que facilita la recuperación del balón, mientras que la otra destaca por conservar mejor el césped en el área de meta, zona que suele estar más desgastada. Es un espacio ideal para practicar tiros a puerta, ejercicios de puntería o cualquier actividad deportiva que requiera de una gran superficie despejada, siempre teniendo en cuenta que la irregularidad del suelo no es óptima para que el portero realice estiradas.",1,0,0,3,6.07070898775199,50.7889476826246
21,pinpon_lousberg,Pingpong,"Mesa de ping-pong de superficie lisa, bien pintada y en excelente estado de conservación, situada sobre un suelo amplio y uniforme de baldosas. La instalación se encuentra en el interior del parque, por lo que requiere caminar un poco para llegar, pero a cambio ofrece sombra casi permanente durante todo el día. Aunque la calidad para el juego es alta, el área carece de mobiliario inmediato; el banco y la papelera más cercanos se encuentran al otro lado del camino, lo que dificulta dejar las pertenencias o esperar turno cerca de la mesa. Es un spot ideal para jugar sin molestias del sol, aunque conviene tener en cuenta que es una zona donde suele correr el aire.",1,0,0,4,6.08304186441082,50.7859903440055
22,ajedrez_lousberg,Ajedrez,"Mesa de ajedrez equipada con cuatro asientos, ideal para partidas individuales o para disfrutar del entorno en grupo. La instalación se encuentra en una ubicación privilegiada dentro del parque, ofreciendo buenas vistas y un ambiente agradable. Se sitúa a una distancia prudencial de las áreas de juegos infantiles, lo que permite disfrutar de cierta tranquilidad sin alejarse demasiado de los servicios principales. Un punto de encuentro perfecto para aficionados al ajedrez que busquen un espacio cómodo y con encanto.",1,0,1,4,6.08420422306332,50.7857772891677
23,molino_lousberg,Otro,"Mesa de exterior con capacidad para cuatro personas, configurada con asientos enfrentados que facilitan la interacción grupal o los juegos por parejas. La instalación se encuentra en una ubicación muy expuesta a las corrientes de aire, lo que genera una sensación térmica baja y requiere vestimenta de abrigo para estancias prolongadas. Aunque el mobiliario es funcional para reuniones sociales, la zona carece de protección contra el viento, por lo que para actividades más relajadas suelen ser preferibles las áreas de césped soleadas del parque. Un punto de encuentro práctico pero condicionado por la climatología local.",1,0,1,3,6.08426531579309,50.7857673471323
24,pinpon_laurensberg,Pingpong,"Mesa de ping-pong ubicada en el centro de un pequeño parque con encanto, situado en una zona residencial tranquila. La instalación cuenta con un suelo de cemento uniforme que proporciona una base sólida para el juego. La mesa presenta una superficie de material rugoso y tiene las líneas de delimitación parcialmente desgastadas por el uso. El área carece de mobiliario urbano inmediato, como bancos o soportes, por lo que no dispone de espacios específicos para sentarse o depositar pertenencias junto a la zona de juego.",1,0,0,3,6.06564803103723,50.7937590532876
25,calistenia_laurensberg,Calistenia,"Área de calistenia equipada con elementos básicos para el entrenamiento de fuerza, como barras para fondos y estructuras para abdominales. El recinto cuenta con un suelo de goma amortiguador delimitado por losas de piedra, lo que garantiza una superficie segura y estable. A diferencia de otras instalaciones similares, este punto no dispone de armario para material deportivo, pero ofrece la ventaja de contar con mayor sombra natural debido a su ubicación. El espacio es funcional y está integrado en un parque agradable que dispone de bancos para descansar y papelera. Una opción sencilla y completa para rutinas de ejercicios de peso corporal.",1,0,1,4,6.06540279150232,50.7936460320804
26,baloncesto_moltkepark,Baloncesto,"Campo de baloncesto considerado uno de los mejores de la ciudad, con una superficie de goma dura en excelente estado de conservación. Las canastas, de estética urbana, cuentan con redes metálicas y están equipadas con vallas traseras que facilitan el rebote y evitan que el balón se aleje, permitiendo un juego fluido. La pista destaca por su valor visual, con grafitis de gran calidad tras los asientos que le confieren un estilo único. En cuanto al mobiliario, dispone de dos bancos centrales a modo de banquillo y apoyos adicionales junto a una de las canastas. Ubicado en un barrio agradable, el campo ofrece un equilibrio óptimo entre luz natural y sombra, consolidándose como una instalación deportiva de referencia tanto por funcionalidad como por estética.",1,0,1,5,6.10388544890594,50.7674430577998
27,futbol_moltkepark,Futbol,"Pista polideportiva de estética excepcional ubicada junto al Musikbunker e integrada con la imponente estructura de piedra del búnker, el recinto está perimetrado por una valla alta y utiliza el muro de la construcción, de hasta 20 metros de altura, como límite lateral, esta pared presenta grafitis artísticos y un saliente que funciona como grada corrida a diferentes niveles. La pista dispone de un suelo de goma dura en óptimas condiciones, líneas delimitadas y porterías de hierro robustas con redes metálicas tipo jaula, aunque algunos árboles sobresalen por la parte superior la visibilidad es excelente, recibiendo sol por la mañana y sombra proyectada por el búnker por la tarde en una instalación que combina funcionalidad deportiva con un entorno visual inmejorable.",1,0,1,5,6.10351055186876,50.7674085524407
28,pinpon_breslauer,Pingpong,"Mesa de ping-pong de superficie bastante lisa pero con un aspecto estético algo desgastado, situada sobre un suelo regular dentro de una zona verde de un parque. La instalación se encuentra permanentemente a la sombra y carece de mobiliario cercano, como bancos o soportes, para sentarse o depositar pertenencias durante el juego. Aunque el entorno cuenta con vegetación, la ubicación no destaca visualmente ni ofrece servicios adicionales, siendo un espacio funcional pero básico para la práctica deportiva.",2,0,0,2,6.11825132620225,50.7782361726375
29,futbol_breslauer,Futbol,"Campo de fútbol 7 de grava y tierra ubicado en una zona de secano dentro de un parque de carácter rústico próximo a la carretera. La instalación cuenta con porterías de metal sin redes, destacando una de ellas por disponer de una valla alta trasera que facilita la recuperación del balón en sesiones de tiro casuales. El terreno de juego está delimitado por bordillos de ladrillo que marcan la transición entre la tierra y el césped circundante, aunque la segunda portería carece de protección perimetral. Es un espacio funcional para el juego informal, pero desprovisto de mobiliario para sentarse o descansar en las inmediaciones.",2,0,0,2,6.11805387068603,50.7782818645476
30,baloncesto_breslauer,Baloncesto,"Instalación de baloncesto de una sola canasta situada sobre un terreno delimitado de tierra y grava. El equipamiento presenta una estética urbana con la clásica red metálica, siendo funcional para el juego individual o informal. Sin embargo, el campo es de dimensiones reducidas y carece de protecciones o vallas traseras para detener el balón, así como de mobiliario cercano para sentarse o descansar. Un punto de juego básico y compacto integrado en un entorno sencillo.",1,0,0,2,6.11736171505985,50.7779269488806
