fid,name,sport,description,condition,water,seats,expirience,longitude,latitude
11,pinpon3_westpark,Pingpong,"High-quality facility consisting of three ping-pong tables located in a privileged setting among trees in Aachen. Each table has its own individual bench, creating independent areas ideal for resting, listening to music, or socializing while waiting for a turn to play. The tables feature a smooth surface, perfectly painted with official regulation lines, and are equipped with rigid metal nets and reinforced stone corners. The playing area is defined by brickwork and features uniform tile flooring to ensure stability. Although the location among the trees offers some protection from the wind, the area is somewhat susceptible to drafts. It is a space with an excellent atmosphere, equipped with trash cans and designed to offer a relaxed sporting experience.",1,0,1,5,6.06778215330329,50.7711569209549
12,basketball_westpark,Basketball,"Outdoor basketball court situated in an open, tree-lined setting, ideal for those seeking natural shade. The court features an acceptable quality cement surface with a slightly rugged texture, where playing lines—including the three-point line—are still visible. The hoops are of a robust, urban style, manufactured entirely of iron, including high-resistance metal nets. Lacking a perimeter fence, the ball may frequently leave the playing area. Although there are no benches directly on the court, the site is located next to a steep hill, perfect for resting and relaxing after the activity. A facility with character, ideal for informal games or shooting practice.",2,0,0,3,6.06722544579148,50.7722555338507
13,pinpon1_westpark,Pingpong,"Functional ping-pong table equipped with two adjacent benches and a trash can. The surface is rougher and shows more dirt than other tables in the area, such as those in Westpark, but remains in good condition for playing. It features the standard rigid metal net and is situated on regular tile flooring. The facility is located in a wooded setting that usually offers shade, although it is prone to drafts. Being located next to a basketball court without physical separation, the game may be occasionally interrupted by balls coming from the adjacent court. A practical option if functionality is prioritized over aesthetics.",1,0,1,4,6.06734881116467,50.7724116000096
14,calisthenics_melaten,Calisthenics,"Calisthenics area equipped with standard basic bars in good condition. Unlike full-scale training parks, this facility focuses on offering the fundamental elements for strength and bodyweight exercises. It stands out for having safety rubber flooring to cushion impacts and for being located in an undercover area, allowing for comfortable training regardless of weather conditions. A practical and functional option for essential training routines.",1,0,0,2,6.04511410828534,50.7866760173667
15,atletism_koenigshuegel,Atletism,"Circular athletics track with a compacted dirt surface, suitable for daily running but not recommended for the use of spiked shoes. It is a fairly wide route that, despite lacking marked lanes, always remains clear for runners regardless of the large crowds in the park. The track features alternating areas of shade and sun depending on the section and the time of day. In its immediate vicinity, you can find calisthenics facilities, as well as volleyball nets and soccer fields (the latter requiring reservation or payment). Although it does not have benches, users typically rest on the large surrounding grass areas. As an added value, the site offers free access to water fountains, bathrooms, and public changing rooms located very close to the track.",1,1,1,4,6.06973755561582,50.7785348161845
16,pinpon_ruetscher,Pingpong,"Ping-pong table located in a pleasant setting within a picturesque street and a playground. This table stands out for being lower than usual, making it accessible for different ages. Although it is surrounded by large green areas, the immediate playing surface is made of dirt and has somewhat uneven terrain. The facility is mostly exposed to the sun, except during the late afternoon hours when shade begins to appear. It has benches in the vicinity, though they are situated at a certain distance from the playing area.",1,0,0,2,6.07396094329527,50.7856693633992
17,pinpon2_ruetscher,Pingpong,"High-quality ping-pong table situated in a very pleasant environment surrounded by trees, ensuring constant shade throughout the day. The facility is set on tile flooring in good condition, offering a stable and comfortable playing surface. Although it is not the newest model, the table is well-preserved and fully functional. Thanks to its protected location, neither direct sunlight nor wind usually pose an issue for playing. The space is equipped with two benches and a trash can located right next to the playing area.",1,1,1,4,6.07294328694977,50.786878732912
18,calisthenics_lousberg,Calisthenics,"Calisthenics area located on the perimeter of the park, allowing for quick access without the need to go deep inside. The facility is in very good condition and features shock-absorbing rubber flooring bordered by stone slabs. A highlight is its sports equipment locker, free to use and available through prior registration. The equipment allows for performing abdominal exercises, dips, and basic movements, and also includes some bars with enough space for other exercises. The area is exposed to the sun for most of the day and lacks shade, making it an ideal spot for outdoor training in a fully equipped environment.",1,0,1,5,6.07123053671894,50.7884552859036
19,volleyball_lousberg,Volleyball,"Volleyball court located right at the park's main entrance from the towers. It is a simple facility situated in a grassy environment, although the playing field itself consists of dry, irregular dirt with the presence of stones. Due to the nature of the ground, the court becomes unusable on rainy days, turning into a muddy area. The net, despite its age, remains in acceptable condition for occasional recreational use. The area lacks boundary lines and is fully exposed to the sun, although the surrounding grass provides a good space to sit and rest. It is a suitable option for hanging out informally, but not for technical or demanding play.",2,0,0,2,6.07103063951729,50.7886013635699
20,football11_lousberg,Football,"Full-size natural grass soccer field located on a large, multi-purpose green plain. The facility consists of two regulation goals without nets situated on terrain that, due to its nature, features some irregularities and bumps, and lacks marked playing lines. One of the goals has a rear fence that makes ball recovery easier, while the other stands out for better-preserved grass in the goal area, a section that is typically more worn down. It is an ideal space for practicing shots on goal, accuracy drills, or any sporting activity that requires a large clear surface, always keeping in mind that the uneven ground is not optimal for goalkeepers to perform diving saves.",1,0,0,3,6.07070898775199,50.7889476826246
21,pinpon_lousberg,Pingpong,"Ping-pong table with a smooth, well-painted surface in excellent condition, situated on a large and uniform tiled floor. The facility is located deep inside the park, requiring a short walk to reach it, but in return, it offers almost permanent shade throughout the day. Although the playing quality is high, the area lacks immediate furniture; the nearest bench and trash can are located on the other side of the path, making it difficult to leave belongings or wait for a turn near the table. It is an ideal spot to play without being bothered by the sun, though it is worth noting that it is an area where it tends to be breezy.",1,0,0,4,6.08304186441082,50.7859903440055
22,chess_lousberg,Chess,"Chess table equipped with four seats, ideal for individual matches or for enjoying the surroundings in a group. The facility is located in a privileged spot within the park, offering good views and a pleasant atmosphere. It is situated at a reasonable distance from the children's playgrounds, allowing for a certain degree of tranquility without being too far from the main services. A perfect meeting point for chess enthusiasts looking for a comfortable and charming space.",1,0,1,4,6.08420422306332,50.7857772891677
23,windmill_lousberg,Other,"Outdoor table with capacity for four people, configured with facing seats that facilitate group interaction or games in pairs. The installation is located in a position very exposed to drafts, which generates a low thermal sensation and requires warm clothing for prolonged stays. Although the furniture is functional for social gatherings, the area lacks protection from the wind, so for more relaxed activities, the sunny grass areas of the park are usually preferable. A practical meeting point but conditioned by the local weather.",1,0,1,3,6.08426531579309,50.7857673471323
24,pinpon_laurensberg,Pingpong,"Ping-pong table located in the center of a small, charming park situated in a quiet residential area. The facility features a uniform cement floor that provides a solid base for the game. The table has a surface made of rough material and its boundary lines are partially worn from use. The area lacks immediate street furniture, such as benches or stands, meaning there are no specific spaces to sit or leave belongings next to the playing zone.",1,0,0,3,6.06564803103723,50.7937590532876
25,calisthenics_laurensberg,Calisthenics,"Calisthenics area equipped with basic elements for strength training, such as dip bars and structures for abdominal exercises. The site features shock-absorbing rubber flooring bordered by stone slabs, ensuring a safe and stable surface. Unlike other similar facilities, this spot does not have a sports equipment locker, but it offers the advantage of more natural shade due to its location. The space is functional and integrated into a pleasant park that has benches for resting and a trash can. A simple and complete option for bodyweight exercise routines.",1,0,1,4,6.06540279150232,50.7936460320804
26,basketball_moltkepark,Basketball,"Basketball court considered one of the best in the city, featuring a hard rubber surface in excellent condition. The urban-style hoops come with metal nets and are equipped with back fences that facilitate rebounds and prevent the ball from wandering off, allowing for fluid play. The court stands out for its visual value, with high-quality graffiti behind the seats that gives it a unique style. Regarding furniture, it has two central benches serving as a dugout and additional supports next to one of the hoops. Located in a pleasant neighborhood, the court offers an optimal balance between natural light and shade, establishing itself as a benchmark sports facility for both functionality and aesthetics.",1,0,1,5,6.10388544890594,50.7674430577998
27,football_moltkepark,Football,"Multi-sports court of exceptional aesthetics located next to the Musikbunker and integrated with the bunker's imposing stone structure. The site is enclosed by a high fence and uses the building's wall, which reaches up to 20 meters in height, as a lateral boundary; this wall features artistic graffiti and a ledge that functions as tiered seating at different levels. The court has a hard rubber floor in optimal condition, marked lines, and robust iron goals with cage-style metal nets. Although some trees overhang from the top, visibility is excellent, receiving sun in the morning and shade cast by the bunker in the afternoon in a facility that combines sporting functionality with an unbeatable visual environment.",1,0,1,5,6.10351055186876,50.7674085524407
28,pinpon_breslauer,Pingpong,"Ping-pong table with a fairly smooth surface but a somewhat worn aesthetic appearance, situated on regular flooring within a green area of a park. The facility is permanently in the shade and lacks nearby furniture, such as benches or stands, for sitting or placing belongings during the game. Although the surroundings feature vegetation, the location does not stand out visually nor does it offer additional services, being a functional but basic space for sports practice.",2,0,0,2,6.11825132620225,50.7782361726375
29,football_breslauer,Football,"7-a-side soccer field of gravel and dirt located in a dryland area within a rustic park near the road. The facility features metal goals without nets, with one of them standing out for having a high rear fence that facilitates ball recovery during casual shooting sessions. The playing field is delimited by brick curbs that mark the transition between the dirt and the surrounding grass, although the second goal lacks perimeter protection. It is a functional space for informal play, but devoid of furniture for sitting or resting in the immediate vicinity.",2,0,0,2,6.11805387068603,50.7782818645476
30,basketball_breslauer,Basketball,"Single-hoop basketball facility situated on a delimited terrain of dirt and gravel. The equipment features an urban aesthetic with the classic metal net, making it functional for individual or informal play. However, the court has small dimensions and lacks protections or back fences to stop the ball, as well as nearby furniture for sitting or resting. A basic and compact playing spot integrated into a simple environment.",1,0,0,2,6.11736171505985,50.7779269488806
